Module,Title,Type,Link
Médecine du travail,ITEM 179 - MEDECINE DU TRAVAIL,PDF,https://drive.google.com/file/d/1lHiOWGo1OkFk8_3-lPT0oJT8oN3uuWOJ/view?usp=drivesdk
Médecine du travail,ITEM 176 - RADIOPROTECTION,PDF,https://drive.google.com/file/d/1vtTD5u3PKwGQhvCOoFQR7iq7Jpas-ufB/view?usp=drivesdk
Mises à jour 2018-Début 2019,ITEM 51 - RETARD DE CROISSANCE,PDF,https://drive.google.com/file/d/1xc1entNwBRffJ8tyssEj_TvcSi91g6vR/view?usp=drivesdk
Mises à jour 2018-Début 2019,ITEM 48 - PATHOLOGIE GENITO-SCROTALE,PDF,https://drive.google.com/file/d/14HIga8zlmqHlmk9GRDymQiz8oICxafQV/view?usp=drivesdk
Mises à jour 2018-Début 2019,ITEM 52 - BOITERIE ENFANT,PDF,https://drive.google.com/file/d/1xFgKqOuM07om6vR9_iOQ3AYAqYT6jD7l/view?usp=drivesdk
Mises à jour 2018-Début 2019,ITEM 50 - STRABISME ENFANT,PDF,https://drive.google.com/file/d/13NvZ6h72Ll5HP1fiNnfALunR4sLSOkTZ/view?usp=drivesdk
Mises à jour 2018-Début 2019,ITEM 93 - RADICULALGIE-SYNDROME CANALAIRE,PDF,https://drive.google.com/file/d/1aym4CUkMtH562OnI8_LKn3nfYcjYM_3l/view?usp=drivesdk
Mises à jour 2018-Début 2019,ITEM 92 - RACHIALGIE,PDF,https://drive.google.com/file/d/1l0qR-912brjS07NvCMe6Gngm0en_jVqK/view?usp=drivesdk
Mises à jour 2018-Début 2019,ITEM 84 - PATHOLOGIE PAUPIERE,PDF,https://drive.google.com/file/d/17Z9h1Rg0S-3PXJePyBQtzUaZRD5PFOAy/view?usp=drivesdk
Mises à jour 2018-Début 2019,ITEM 51 - RETARD DE CROISSANCE,PDF,https://drive.google.com/file/d/1sEiTHmDj4JVYnQABakKYadyAGv9l6uHc/view?usp=drivesdk
Mises à jour 2018-Début 2019,ITEM 80-2 - NOIAA,PDF,https://drive.google.com/file/d/1BgD7VsNXOO_G09dc-bTagp9RA-DSNL_a/view?usp=drivesdk
Mises à jour 2018-Début 2019,ITEM 83 - TROUBLE DE REFRACTION,PDF,https://drive.google.com/file/d/1WJJxWmQPta9CtwEzRl8SW67ljSggsQNb/view?usp=drivesdk
Mises à jour 2018-Début 2019,ITEM 81 - OEIL ROUGE DOULOUREUX,PDF,https://drive.google.com/file/d/1QjQpmNqLXWniLmQNi-za7kbbPjoJO7rD/view?usp=drivesdk
Mises à jour 2018-Début 2019,ITEM 82 - GLAUCOME CHRONIQUE,PDF,https://drive.google.com/file/d/1cHadCeOCjOvJJTRHLRw2MqhjsI9rnJNF/view?usp=drivesdk
Mises à jour 2018-Début 2019,ITEM 80-1 - ANOMALIE VISION BRUTALE,PDF,https://drive.google.com/file/d/13tB8AVUkbWqaFooCxOWaDaRWKd-Upuqb/view?usp=drivesdk
Mises à jour 2018-Début 2019,ITEM 48 - PATHOLOGIE GENITO-SCROTALE,PDF,https://drive.google.com/file/d/1i6tB-j63hs25jcEdSbO5WIRCDYGYWhRc/view?usp=drivesdk
Mises à jour 2018-Début 2019,ITEM 80-5 - OVCR,PDF,https://drive.google.com/file/d/1GpgWaAONFO55AMGx6_-piBLzBN_zWzBr/view?usp=drivesdk
Mises à jour 2018-Début 2019,ITEM 80-4 - OACR,PDF,https://drive.google.com/file/d/14WBg_Xbvtb4s7qYR5iCct37RvbppaTSW/view?usp=drivesdk
Mises à jour 2018-Début 2019,ITEM 80-3 - NORB,PDF,https://drive.google.com/file/d/15JayQsuDhf4EYBf2DGxn8ZXK9qqpHv3d/view?usp=drivesdk
Mises à jour 2018-Début 2019,ITEM 79 - ALTERATION FONCTION VISUELLE,PDF,https://drive.google.com/file/d/1FgFx3f6utO_6-D7tcFKy05iTt2XoN3fN/view?usp=drivesdk
Mises à jour 2018-Début 2019,ITEM 50 - STRABISME ENFANT,PDF,https://drive.google.com/file/d/1PaopYT2HHOYn6T83xFVukRrsc8SReWat/view?usp=drivesdk
Mises à jour 2018-Début 2019,ITEM 73 - TABAC,PDF,https://drive.google.com/file/d/1D39NJa2P284MwLxIOOUKE46eCXdTUzGN/view?usp=drivesdk
Mises à jour 2018-Début 2019,ITEM 53 - DEVELOPPEMENT PSYCHOMOTEUR,PDF,https://drive.google.com/file/d/1hRO928aw3zBleHRAGb1GndZokJT1xxuO/view?usp=drivesdk
Mises à jour 2018-Début 2019,ITEM 56- TROUBLE SEXUALITE DE L_HOMME,PDF,https://drive.google.com/file/d/1RS-AMniXlXidOIfweUIGkjvYJGZSe3zP/view?usp=drivesdk
Mises à jour 2018-Début 2019,ITEM 52 - BOITERIE ENFANT,PDF,https://drive.google.com/file/d/1zfhL5DbCkQkYo7UQBMwZElsaI7DF4qmh/view?usp=drivesdk
Mises à jour 2018-Début 2019,ITEM 37- STERILITE DU COUPLE,PDF,https://drive.google.com/file/d/1rKFpy3XAGB-Ip-38xTR3fgMDYKuhLr2r/view?usp=drivesdk
Mises à jour 2018-Début 2019,ITEM 47 - PUBERTE,PDF,https://drive.google.com/file/d/1YQdAtocHFaJ0_9ge6rWzz3jlTzGeGBu0/view?usp=drivesdk
Mises à jour 2018-Début 2019,ITEM 42 - TUMEFACTION PELVIENNE,PDF,https://drive.google.com/file/d/1dSc2NZbJj-7bcVLTRTYlrwVNCpO6eQ4K/view?usp=drivesdk
Mises à jour 2018-Début 2019,ITEM 40 - AMENORRHEE,PDF,https://drive.google.com/file/d/1DSl57WmPVfK62DJMsNzF5-ckHub1vGbM/view?usp=drivesdk
Mises à jour 2018-Début 2019,ITEM 36 - IVG,PDF,https://drive.google.com/file/d/1zmewvgZD_rWNbuPLnSAY4JL6VxAR41qc/view?usp=drivesdk
